"application_id","checking_status","duration_months","credit_amount","savings_status","employment_since","age_years","housing","model_probability_bad","model_decision","outcome"
"APP-0098","A11",12,2579,"A61","A72",33,"A152",0.2657,"Approve","Bad"
"APP-0105","A14",6,660,"A63","A74",23,"A151",0.2543,"Approve","Good"
"APP-0181","A14",21,12680,"A65","A75",30,"A153",0.2543,"Approve","Bad"
"APP-0191","A12",21,1188,"A61","A75",39,"A152",0.2514,"Approve","Bad"
"APP-0159","A14",6,1538,"A61","A72",56,"A152",0.2486,"Approve","Good"
"APP-0140","A14",21,1572,"A64","A75",36,"A152",0.2457,"Approve","Good"
"APP-0194","A14",12,1258,"A61","A72",22,"A151",0.2457,"Approve","Good"
"APP-0228","A14",48,12749,"A63","A74",37,"A152",0.2457,"Approve","Good"
"APP-0055","A12",18,866,"A61","A73",25,"A152",0.2429,"Approve","Good"
"APP-0071","A14",6,672,"A61","A71",54,"A152",0.2429,"Approve","Good"
"APP-0100","A12",12,958,"A61","A74",47,"A152",0.2429,"Approve","Good"
"APP-0156","A14",30,4530,"A61","A74",26,"A151",0.2429,"Approve","Good"
"APP-0192","A13",24,2892,"A61","A75",51,"A153",0.2429,"Approve","Good"
"APP-0085","A14",9,1236,"A61","A72",23,"A151",0.24,"Approve","Good"
"APP-0036","A13",6,709,"A64","A72",27,"A152",0.2343,"Approve","Good"
"APP-0147","A14",12,640,"A61","A73",49,"A152",0.2343,"Approve","Good"
"APP-0127","A12",18,3612,"A61","A75",37,"A152",0.2314,"Approve","Good"
"APP-0162","A14",12,926,"A61","A71",38,"A152",0.2314,"Approve","Good"
"APP-0218","A11",24,1382,"A62","A74",26,"A152",0.2314,"Approve","Good"
"APP-0178","A14",30,5771,"A61","A74",25,"A152",0.2257,"Approve","Good"
"APP-0126","A14",24,3105,"A65","A72",25,"A152",0.22,"Approve","Good"
"APP-0158","A14",18,1453,"A61","A72",26,"A152",0.22,"Approve","Good"
"APP-0201","A13",12,3016,"A61","A73",24,"A152",0.2171,"Approve","Good"
"APP-0057","A14",24,1258,"A61","A74",25,"A152",0.2143,"Approve","Good"
"APP-0092","A14",18,2320,"A61","A71",34,"A152",0.2114,"Approve","Good"
"APP-0196","A12",8,907,"A61","A72",26,"A152",0.2114,"Approve","Good"
"APP-0017","A14",24,3181,"A61","A72",26,"A152",0.2086,"Approve","Good"
"APP-0103","A11",6,1872,"A61","A71",36,"A153",0.2057,"Approve","Good"
"APP-0050","A14",27,5117,"A61","A74",26,"A152",0.2029,"Approve","Good"
"APP-0104","A12",12,1484,"A65","A73",25,"A152",0.2029,"Approve","Bad"
"APP-0219","A12",11,1322,"A64","A73",40,"A152",0.2029,"Approve","Good"
"APP-0202","A11",8,731,"A61","A75",47,"A152",0.1971,"Approve","Good"
"APP-0059","A12",9,2030,"A65","A74",24,"A152",0.1943,"Approve","Good"
"APP-0142","A14",24,3863,"A61","A73",32,"A153",0.1943,"Approve","Good"
"APP-0070","A14",12,4675,"A65","A72",20,"A151",0.1914,"Approve","Good"
"APP-0109","A14",36,11054,"A65","A73",30,"A152",0.1886,"Approve","Good"
"APP-0058","A13",24,1925,"A61","A73",26,"A152",0.1857,"Approve","Good"
"APP-0173","A14",6,6761,"A61","A74",45,"A152",0.1829,"Approve","Good"
"APP-0225","A14",15,2186,"A65","A74",33,"A151",0.18,"Approve","Good"
"APP-0011","A14",11,7228,"A61","A73",39,"A152",0.1771,"Approve","Good"
"APP-0222","A12",30,2181,"A65","A75",36,"A152",0.1771,"Approve","Good"
"APP-0160","A14",60,6527,"A65","A73",34,"A153",0.1743,"Approve","Good"
"APP-0223","A14",18,1098,"A61","A71",65,"A152",0.1743,"Approve","Good"
"APP-0020","A14",54,9436,"A65","A73",39,"A152",0.1714,"Approve","Good"
"APP-0179","A13",6,1299,"A61","A73",74,"A152",0.1714,"Approve","Good"
"APP-0110","A14",6,518,"A61","A73",29,"A152",0.1686,"Approve","Good"
"APP-0145","A13",10,1240,"A62","A75",48,"A153",0.1657,"Approve","Bad"
"APP-0032","A14",12,1768,"A61","A73",24,"A151",0.1629,"Approve","Good"
"APP-0214","A14",10,2210,"A61","A73",25,"A151",0.1629,"Approve","Bad"
"APP-0035","A12",15,2728,"A65","A74",35,"A152",0.1571,"Approve","Good"
"APP-0240","A14",15,3556,"A65","A73",29,"A152",0.1543,"Approve","Good"
"APP-0029","A12",14,1410,"A63","A75",35,"A152",0.1514,"Approve","Good"
"APP-0112","A14",24,2679,"A61","A72",29,"A152",0.1486,"Approve","Good"
"APP-0123","A13",15,2687,"A61","A74",26,"A151",0.1457,"Approve","Good"
"APP-0169","A14",15,1316,"A63","A73",47,"A152",0.1457,"Approve","Good"
"APP-0243","A12",18,2427,"A65","A75",42,"A152",0.1457,"Approve","Good"
"APP-0012","A14",12,1262,"A61","A73",25,"A152",0.14,"Approve","Good"
"APP-0064","A14",24,999,"A65","A75",25,"A152",0.14,"Approve","Good"
"APP-0122","A14",36,4686,"A61","A73",32,"A153",0.14,"Approve","Good"
"APP-0163","A14",18,1800,"A61","A73",24,"A152",0.14,"Approve","Good"
"APP-0069","A14",12,1076,"A61","A73",26,"A152",0.1343,"Approve","Good"
"APP-0182","A14",24,2463,"A62","A74",27,"A152",0.1343,"Approve","Good"
"APP-0125","A14",24,1311,"A62","A74",26,"A152",0.1314,"Approve","Good"
"APP-0039","A14",6,1346,"A62","A75",42,"A153",0.1286,"Approve","Good"
"APP-0047","A14",12,1963,"A61","A74",31,"A151",0.1286,"Approve","Good"
"APP-0250","A14",12,804,"A61","A75",38,"A152",0.1286,"Approve","Good"
"APP-0130","A13",18,2864,"A61","A73",34,"A152",0.1257,"Approve","Bad"
"APP-0165","A14",15,5324,"A63","A75",35,"A153",0.1257,"Approve","Good"
"APP-0061","A14",11,1154,"A62","A71",57,"A152",0.1229,"Approve","Good"
"APP-0007","A14",24,3430,"A63","A75",31,"A152",0.1171,"Approve","Good"
"APP-0238","A12",9,1154,"A61","A75",37,"A152",0.1086,"Approve","Good"
"APP-0149","A14",42,4042,"A63","A73",36,"A152",0.1057,"Approve","Good"
"APP-0230","A14",12,522,"A63","A75",42,"A152",0.1029,"Approve","Good"
"APP-0197","A12",6,484,"A61","A74",28,"A152",0.1,"Approve","Good"
"APP-0022","A14",15,1213,"A63","A75",47,"A152",0.0971,"Approve","Good"
"APP-0084","A14",6,1743,"A62","A73",34,"A152",0.0971,"Approve","Good"
"APP-0213","A14",15,3343,"A61","A73",28,"A153",0.0943,"Approve","Good"
"APP-0132","A14",48,8858,"A65","A74",35,"A153",0.0914,"Approve","Good"
"APP-0067","A14",15,3368,"A64","A75",23,"A151",0.0886,"Approve","Good"
"APP-0001","A11",6,1169,"A65","A75",67,"A152",0.0857,"Approve","Good"
"APP-0150","A14",9,3832,"A65","A75",64,"A152",0.0857,"Approve","Good"
"APP-0095","A14",24,1516,"A64","A73",43,"A152",0.08,"Approve","Good"
"APP-0211","A14",24,1474,"A62","A72",33,"A152",0.0771,"Approve","Good"
"APP-0077","A11",8,3398,"A61","A74",39,"A152",0.0714,"Approve","Good"
"APP-0242","A11",11,3939,"A61","A73",40,"A152",0.0714,"Approve","Good"
"APP-0221","A14",30,6742,"A65","A74",36,"A152",0.0686,"Approve","Good"
"APP-0054","A14",12,2141,"A62","A74",35,"A152",0.0629,"Approve","Good"
"APP-0078","A14",18,1864,"A62","A73",30,"A152",0.0629,"Approve","Bad"
"APP-0089","A13",12,3399,"A65","A75",37,"A152",0.0629,"Approve","Good"
"APP-0212","A14",10,894,"A65","A74",40,"A152",0.0629,"Approve","Good"
"APP-0013","A14",18,3378,"A65","A73",31,"A152",0.0571,"Approve","Good"
"APP-0083","A14",15,1459,"A61","A73",43,"A152",0.0543,"Approve","Good"
"APP-0131","A14",12,1255,"A61","A75",61,"A152",0.0543,"Approve","Good"
"APP-0025","A14",12,618,"A61","A75",56,"A152",0.0514,"Approve","Good"
"APP-0118","A14",12,1934,"A61","A75",26,"A152",0.0514,"Approve","Good"
"APP-0097","A14",36,5842,"A61","A75",35,"A152",0.0486,"Approve","Good"
"APP-0217","A13",6,1343,"A61","A75",46,"A152",0.0457,"Approve","Good"
"APP-0046","A12",8,1414,"A61","A73",33,"A152",0.0429,"Approve","Good"
"APP-0087","A14",12,2331,"A65","A75",49,"A152",0.0371,"Approve","Good"
"APP-0239","A14",6,1740,"A61","A75",30,"A151",0.0371,"Approve","Good"
"APP-0157","A14",24,5150,"A61","A75",33,"A152",0.0343,"Approve","Good"
"APP-0185","A14",21,3275,"A61","A75",36,"A152",0.0343,"Approve","Good"
"APP-0117","A14",12,3077,"A61","A73",52,"A152",0.0314,"Approve","Good"
"APP-0167","A14",30,3077,"A65","A75",40,"A152",0.0314,"Approve","Good"
"APP-0166","A14",21,2476,"A65","A75",46,"A152",0.0286,"Approve","Good"
"APP-0176","A14",15,3029,"A61","A74",33,"A152",0.0286,"Approve","Good"
"APP-0186","A14",36,5711,"A64","A75",38,"A152",0.0257,"Approve","Good"
"APP-0034","A14",12,1240,"A65","A75",38,"A152",0.0229,"Approve","Good"
"APP-0044","A14",6,1898,"A65","A73",34,"A152",0.0229,"Approve","Good"
"APP-0006","A14",24,2424,"A65","A75",53,"A152",0.02,"Approve","Good"
"APP-0108","A12",7,2576,"A61","A73",35,"A152",0.0143,"Approve","Good"
"APP-0209","A14",24,4042,"A65","A74",43,"A152",0.0114,"Approve","Good"
"APP-0224","A14",15,1829,"A61","A75",46,"A152",0.0086,"Approve","Good"
